Part of Confusion Matrix,total,type,evaluation,in-/exclusion,value,count,impacts_recall
Screenable & Screened,32,reasoning,correct,,,21,
Screenable & Screened,32,reasoning,incorrect,,D,11,
Screenable & Screened,32,reasoning,incorrect,,E,0,
Screenable & Screened,32,reasoning,incorrect,,F,0,
Screenable & Screened,32,reasoning,not reasoned,,,0,
Screenable & Screened,32,answer,correct,inclusion,True,7,
Screenable & Screened,32,answer,correct,inclusion,False,4,True
Screenable & Screened,32,answer,correct,inclusion,Unknown,0,
Screenable & Screened,32,answer,correct,exclusion,True,2,True
Screenable & Screened,32,answer,correct,exclusion,False,9,
Screenable & Screened,32,answer,correct,exclusion,Unknown,0,
Screenable & Screened,32,answer,incorrect,inclusion,True,0,
Screenable & Screened,32,answer,incorrect,inclusion,False,0,True
Screenable & Screened,32,answer,incorrect,inclusion,Unknown,0,
Screenable & Screened,32,answer,incorrect,exclusion,True,2,True
Screenable & Screened,32,answer,incorrect,exclusion,False,0,
Screenable & Screened,32,answer,incorrect,exclusion,Unknown,8,
Screenable & Screened,32,answer,not answered,,,0,
Not Screenable but Screened,32,reasoning,correct,,,18,
Not Screenable but Screened,32,reasoning,incorrect,,D,14,
Not Screenable but Screened,32,reasoning,incorrect,,E,0,
Not Screenable but Screened,32,reasoning,incorrect,,F,0,
Not Screenable but Screened,32,reasoning,not reasoned,,,0,
Not Screenable but Screened,32,answer,correct,inclusion,Unknown,4,
Not Screenable but Screened,32,answer,correct,inclusion,True,0,
Not Screenable but Screened,32,answer,correct,inclusion,False,0,True
Not Screenable but Screened,32,answer,correct,exclusion,Unknown,14,
Not Screenable but Screened,32,answer,correct,exclusion,True,0,True
Not Screenable but Screened,32,answer,correct,exclusion,False,0,
Not Screenable but Screened,32,answer,incorrect,inclusion,Unknown,0,
Not Screenable but Screened,32,answer,incorrect,inclusion,True,3,
Not Screenable but Screened,32,answer,incorrect,inclusion,False,3,True
Not Screenable but Screened,32,answer,incorrect,exclusion,Unknown,0,
Not Screenable but Screened,32,answer,incorrect,exclusion,True,3,True
Not Screenable but Screened,32,answer,incorrect,exclusion,False,5,
Not Screenable but Screened,32,answer,not answered,,,0,
Not Screenable & Not Screened,74,reasoning,not reasoned,,,74,
Not Screenable & Not Screened,74,answer,not answered,,,74,
Screenable but Not Screened,20,reasoning,not reasoned,,,20,
Screenable but Not Screened,20,answer,not answered,,,20,
Screenable but Not Screened,20,answer,not answered,inclusion,False,1,True
Screenable but Not Screened,20,answer,not answered,inclusion,True,7,False
Screenable but Not Screened,20,answer,not answered,exclusion,False,12,False
Screenable but Not Screened,20,answer,not answered,exclusion,True,0,True
Trial Evaluation TP,2,,,,,,
Trial Evaluation FP,1,,,,,,
Trial Evaluation TN,5,,,,,,
Trial Evaluation FN,2,,,,,,
Trial Evaluation NOT_SCREENED,1,,,,,,
